e1-1	초등학교 1학년 1학기 (22개정)	35
e1-2	초등학교 1학년 2학기 (22개정)	36
e2-1	초등학교 2학년 1학기 (22개정)	41
e2-2	초등학교 2학년 2학기 (22개정)	44
e3-1	초등학교 3학년 1학기 (22개정)	54
e3-2	초등학교 3학년 2학기 (22개정)	47
e4-1	초등학교 4학년 1학기 (22개정)	47
e4-2	초등학교 4학년 2학기 (22개정)	39
e5-1	초등학교 5학년 1학기 (22개정)	42
e5-2	초등학교 5학년 2학기 (22개정)	41
e6-1	초등학교 6학년 1학기 (22개정)	40
e6-2	초등학교 6학년 2학기 (22개정)	40
m3-2-2015	중학교 3학년 2학기 (2015개정)	14
m-sci1-1	중학교 1학년 1학기 과학 (22개정)	21
m-sci1-2	중학교 1학년 2학기 과학 (22개정)	20
m-sci2-1	중학교 2학년 1학기 과학 (22개정)	22
m-sci2-2	중학교 2학년 2학기 과학 (22개정)	29
m-sci3	중학교 3학년 과학 (15개정)	56
m-sci3-2	중학교 3학년 2학기 과학 (2015개정·오투)	10
h-int1	통합과학1 (22개정)	20
h-int2	통합과학2 (22개정)	16
h-phy	물리학 (22개정)	15
h-chem	화학 (22개정)	14
h-bio	생명과학 (22개정)	15
h-earth	지구과학 (22개정)	15
h-mech	역학과 에너지 (22개정)	16
h-emq	전자기와 양자 (22개정)	12
h-mateng	물질과 에너지 (22개정)	22
h-chemrxn	화학 반응의 세계 (22개정)	18
h-cellmeta	세포와 물질대사 (22개정)	15
h-biogen	생물의 유전 (22개정)	15
h-earthsys	지구시스템과학 (22개정)	14
h-planet	행성우주과학 (22개정)	16
h-scihist	과학의 역사와 문화 (22개정)	12
h-climate	기후변화와 환경생태 (22개정)	12
h-convsci	융합과학 탐구 (22개정)	12
m-soc1-1	올쏘 중학 사회①-1 (2022개정·올쏘)	3
m-soc1-2	올쏘 중학 사회①-2 (2022개정·올쏘)	3
m-soc2-1	올쏘 중학 사회②-1 (2022개정·올쏘)	3
m-soc2-2	올쏘 중학 사회②-2 (2022개정·올쏘)	3
m-his1-1	올쏘 중학 역사①-1 (2022개정·올쏘)	3
m-his1-2	올쏘 중학 역사①-2 (2022개정·올쏘)	3
m-his2-1	올쏘 중학 역사②-1 (2022개정·올쏘)	3
m-his2-2	올쏘 중학 역사②-2 (2022개정·올쏘)	3
