e4-2-u0m0s0	분수의 덧셈과 뺄셈 > 분수의 덧셈 > 진분수의 덧셈	합이 1보다 작은 진분수의 덧셈 | 합이 1보다 크거나 같은 진분수의 덧셈 | 진분수의 덧셈을 이용한 실생활 문제 해결하기
e4-2-u0m0s1	분수의 덧셈과 뺄셈 > 분수의 덧셈 > 대분수의 덧셈	분수 부분의 합이 1보다 작은 대분수의 덧셈 | 분수 부분의 합이 1보다 크거나 같은 대분수의 덧셈 | 대분수의 덧셈을 이용한 실생활 문제 해결하기
e4-2-u0m1s0	분수의 덧셈과 뺄셈 > 분수의 뺄셈 > 진분수의 뺄셈	진분수의 뺄셈 | 진분수의 뺄셈을 이용한 실생활 문제 해결하기
e4-2-u0m1s1	분수의 덧셈과 뺄셈 > 분수의 뺄셈 > 분수 부분끼리 뺄 수 있는 대분수의 뺄셈	분수 부분끼리 뺄 수 있는 대분수의 뺄셈 | 분수 부분끼리 뺄 수 있는 대분수의 뺄셈을 이용한 실생활 문제 해결하기
e4-2-u0m1s2	분수의 덧셈과 뺄셈 > 분수의 뺄셈 > 자연수와 분수의 뺄셈	1과 진분수의 뺄셈 | 자연수와 진분수의 뺄셈 | 자연수와 대분수의 뺄셈 | 자연수와 분수의 뺄셈을 이용한 실생활 문제 해결하기
e4-2-u0m1s3	분수의 덧셈과 뺄셈 > 분수의 뺄셈 > 분수 부분끼리 뺄 수 없는 대분수의 뺄셈	분수 부분끼리 뺄 수 없는 대분수의 뺄셈 | 분수 부분끼리 뺄 수 없는 대분수의 뺄셈을 이용한 실생활 문제 해결하기
e4-2-u0m2s0	분수의 덧셈과 뺄셈 > 분수의 덧셈과 뺄셈의 활용 > 분수의 덧셈과 뺄셈의 활용	수직선, 수막대에 있는 분수의 계산하기 | 자연수를 두 분수의 합으로 나타내기 | 합과 차가 주어진 두 분수 구하기 | 덧셈식, 뺄셈식 만들기 | 크기 비교에 있는 □ 안에 들어갈 수 있는 수 구하기 | 어떤 수를 구하여 계산하기 | 모르는 수가 있는 덧셈, 뺄셈 | 약속, 규칙에 따라 계산하기 | 조건을 만족하는 수를 찾아 계산하기 | 이어 붙인 색 테이프, 묶은 매듭 문제 해결하기 | 도형을 보고 문제 해결하기 | 시간, 날짜를 이용하여 문제 해결하기
e4-2-u1m0s0	삼각형 > 이등변삼각형과 정삼각형 > 이등변삼각형과 정삼각형	이등변삼각형 알아보기 | 이등변삼각형 그리기/만들기 | 이등변삼각형에서 길이 이용하여 모르는 길이 구하기 | 이등변삼각형을 이어 붙이거나 겹친 모양에서 길이 구하기 | 정삼각형 알아보기 | 정삼각형 그리기/만들기 | 정삼각형에서 길이 이용하여 모르는 길이 구하기 | 정삼각형을 이어 붙이거나 겹친 모양에서 길이 구하기 | 이등변삼각형과 정삼각형 알아보기 | 크고 작은 삼각형의 개수 구하기(1)
e4-2-u1m0s1	삼각형 > 이등변삼각형과 정삼각형 > 이등변삼각형의 성질	이등변삼각형의 성질 알아보기 | 성질 이용하여 이등변삼각형 그리기 | 이등변삼각형의 성질을 이용하여 변의 길이와 각의 크기 구하기 | 이등변삼각형을 이어 붙이거나 겹친 모양에서 각의 크기 구하기
e4-2-u1m0s2	삼각형 > 이등변삼각형과 정삼각형 > 정삼각형의 성질	정삼각형의 성질 알아보기 | 성질 이용하여 정삼각형 그리기 | 정삼각형의 성질을 이용하여 변의 길이와 각의 크기 구하기 | 정삼각형을 이어 붙이거나 겹친 모양에서 성질로 문제 해결하기 | 이등변삼각형과 정삼각형을 이어 붙이거나 겹친 모양에서 문제 해결하기 | 삼각형을 돌렸을 때 각의 크기 구하기 | 삼각형이 원 위에 있을 때 문제 해결하기 | 종이를 접었을 때 문제 해결하기
e4-2-u1m1s0	삼각형 > 예각삼각형과 둔각삼각형 > 예각삼각형과 둔각삼각형	예각삼각형 알아보기 | 예각삼각형 그리기 / 만들기 | 예각삼각형에서 문제 해결하기 | 둔각삼각형 알아보기 | 둔각삼각형 그리기 / 만들기 | 둔각삼각형에서 문제 해결하기 | 예각삼각형과 둔각삼각형 알아보기 | 자르거나 나눈 모양에서 삼각형의 개수 알아보기 | 조건에 맞는 삼각형 만들어 문제 해결하기 | 크고 작은 삼각형의 개수 구하기(2)
e4-2-u1m2s0	삼각형 > 여러 가지 삼각형 > 삼각형을 두 가지 기준에 따라 분류하기	삼각형을 두 가지 기준으로 분류하기 | 삼각형 이름 정하기 | 두 가지 조건에 맞는 여러 가지 삼각형 알아보기 | 삼각형 그리기
e4-2-u2m0s0	소수의 덧셈과 뺄셈 > 소수 알아보기 > 소수 두 자리 수	소수 두 자리 수 알아보기 | 소수 두 자리 수의 각 자리 숫자가 나타내는 수
e4-2-u2m0s1	소수의 덧셈과 뺄셈 > 소수 알아보기 > 소수 세 자리 수	소수 세 자리 수 알아보기 | 소수 세 자리 수의 각 자리 숫자가 나타내는 수
e4-2-u2m0s2	소수의 덧셈과 뺄셈 > 소수 알아보기 > 소수의 크기 비교	크기가 같은 소수 | 소수의 크기 비교하기
e4-2-u2m0s3	소수의 덧셈과 뺄셈 > 소수 알아보기 > 소수 사이의 관계	소수 사이의 관계 알아보기 | ■배인지, 1/■인지 구하기
